date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change,hour,dow,is_weekend
2025-09-27 10:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 11:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 11:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,11,5,1
2025-09-27 12:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 12:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,12,5,1
2025-09-27 13:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,13,5,1
2025-09-27 13:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,13,5,1
2025-09-27 13:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,13,5,1
2025-09-27 13:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,13,5,1
2025-09-27 13:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,13,5,1
2025-09-27 13:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,13,5,1
2025-09-27 13:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,13,5,1
2025-09-27 13:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,13,5,1
2025-09-27 13:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,13,5,1
2025-09-27 13:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,13,5,1
2025-09-27 13:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,13,5,1
2025-09-27 13:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,13,5,1
2025-09-27 14:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 14:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,14,5,1
2025-09-27 15:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
2025-09-27 15:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.579,1.709,1.649,0.0,1.0,1.0,15,5,1
